order_id,order_item_id,product_id,seller_id,price,freight_value
O00059,2,P00038,S00073,123.08,29.08
O00060,1,P00040,S00029,45.69,16.18
O00060,2,P00087,S00061,123.34,32.97
O00061,1,P00103,S00061,56.76,19.74
O00061,2,P00095,S00034,38.32,29.73
O00062,1,P00108,S00020,59.61,24.01
O00063,1,P00148,S00039,45.8,12.52
O00064,1,P00117,S00036,82.18,43.3
O00064,2,P00021,S00018,35.34,37.5
O00064,3,P00034,S00069,415.79,5.67
O00065,1,P00062,S00028,37.58,6.83
O00066,1,P00079,S00018,79.02,18.02
O00066,2,P00095,S00017,27.14,22.77
O00067,1,P00095,S00006,86.69,21.01
O00068,1,P00019,S00039,22.65,8.25
O00069,1,P00024,S00077,114.97,42.26
O00070,1,P00148,S00026,89.04,44.47
O00070,2,P00143,S00061,97.52,39.28
O00071,1,P00020,S00043,61.41,34.37
O00071,2,P00063,S00016,67.05,16.75
O00072,1,P00089,S00003,54.03,10.73
O00073,1,P00147,S00041,76.33,27.88
O00074,1,P00033,S00049,104.23,25.19
O00074,2,P00059,S00057,20.25,10.11
O00075,1,P00068,S00071,74.7,17.05
O00075,2,P00033,S00031,111.95,31.92
O00076,1,P00070,S00026,52.02,39.99
O00077,1,P00005,S00008,20.83,22.85
O00078,1,P00146,S00002,103.38,31.51
O00079,1,P00117,S00064,93.18,13.47
O00080,1,P00135,S00054,92.61,31.39
O00080,2,P00021,S00009,33.9,8.58
O00081,1,P00143,S00040,91.92,33.63
O00082,1,P00048,S00062,59.53,42.16
O00083,1,P00138,S00003,50.25,35.65
O00083,2,P00054,S00049,12.28,13.82
O00084,1,P00048,S00063,65.18,24.05
O00085,1,P00037,S00028,102.13,9.92
O00085,2,P00116,S00064,75.99,10.43
O00086,1,P00016,S00062,54.45,34.02
O00087,1,P00013,S00073,178.94,32.67
O00088,1,P00030,S00073,93.36,42.27
O00088,2,P00079,S00058,215.46,35.65
O00089,1,P00070,S00043,82.96,30.76
O00090,1,P00041,S00009,76.94,33.7
O00091,1,P00097,S00044,27.25,20.27
O00091,2,P00106,S00042,73.1,30.68
O00092,1,P00047,S00034,113.95,39.25
O00093,1,P00109,S00003,226.71,13.94
O00093,2,P00008,S00054,145.41,9.63
O00094,1,P00084,S00077,56.18,8.57
O00095,1,P00099,S00025,58.65,42.49
O00095,2,P00100,S00049,15.4,34.78
O00096,1,P00087,S00025,78.47,19.71
O00097,1,P00107,S00024,16.32,43.16
O00097,2,P00149,S00023,110.38,28.08
O00098,1,P00028,S00060,110.45,7.48
O00099,1,P00042,S00042,19.85,38.88
O00100,1,P00121,S00029,39.83,17.79
O00100,2,P00073,S00058,13.37,19.6
O00100,3,P00031,S00027,61.26,32.17
O00101,1,P00005,S00035,224.06,25.79
O00101,2,P00102,S00045,61.81,29.06
O00102,1,P00117,S00038,45.71,20.81
O00103,1,P00098,S00019,65.66,23.42
O00104,1,P00100,S00009,97.6,42.72
O00105,1,P00050,S00066,44.82,24.99
O00105,2,P00100,S00052,25.91,23.23
O00106,1,P00051,S00078,65.32,10.83
O00107,1,P00097,S00031,132.23,37.05
O00108,1,P00137,S00062,144.95,28.96
O00108,2,P00008,S00030,77.01,17.36
O00109,1,P00143,S00063,137.33,9.94
O00109,2,P00075,S00077,167.41,44.87
O00109,3,P00051,S00068,163.39,33.26
O00110,1,P00046,S00065,24.94,38.15
O00111,1,P00013,S00057,138.38,33.17
O00112,1,P00078,S00072,45.16,44.25
O00113,1,P00105,S00023,38.9,38.12
O00114,1,P00047,S00076,55.37,34.31
O00115,1,P00101,S00000,93.61,33.02
O00115,2,P00099,S00049,60.91,7.1
O00116,1,P00016,S00068,34.72,12.16
O00116,2,P00054,S00003,105.61,24.5
O00117,1,P00129,S00070,117.44,44.38
O00118,1,P00094,S00067,54.49,38.94
O00119,1,P00094,S00051,90.91,26.92
O00119,2,P00139,S00010,28.79,18.5
O00119,3,P00061,S00051,104.31,32.12
O00120,1,P00021,S00004,11.74,35.31
O00120,2,P00111,S00050,33.0,20.64
O00120,3,P00031,S00064,45.63,26.11
O00121,1,P00125,S00078,61.45,32.86
O00122,1,P00001,S00011,182.34,39.25
O00123,1,P00130,S00022,81.29,10.24
O00124,1,P00075,S00067,51.1,28.22
O00124,2,P00030,S00074,60.63,37.2
O00125,1,P00146,S00050,27.82,33.38
O00125,2,P00004,S00074,153.29,23.3
O00126,1,P00047,S00059,37.53,10.5
O00127,1,P00034,S00027,90.53,16.64
O00128,1,P00118,S00078,117.95,13.73
O00129,1,P00101,S00018,31.16,34.41
O00129,2,P00026,S00007,49.71,5.37
O00130,1,P00040,S00014,19.99,28.03
O00130,2,P00127,S00010,32.64,32.13
O00131,1,P00000,S00064,128.42,10.9
O00131,2,P00012,S00014,69.71,43.02
O00131,3,P00139,S00034,84.05,22.08
O00132,1,P00028,S00043,121.4,42.04
O00132,2,P00075,S00010,99.59,8.84
O00133,1,P00023,S00029,192.89,12.19
O00133,2,P00030,S00042,54.4,7.1
O00133,3,P00080,S00066,17.26,44.21
O00134,1,P00118,S00076,43.19,28.74
O00135,1,P00119,S00079,33.18,30.08
O00135,2,P00108,S00024,66.77,21.16
O00135,3,P00019,S00038,70.35,6.36
O00136,1,P00059,S00037,93.17,24.55
O00137,1,P00022,S00023,37.58,43.18
O00138,1,P00076,S00048,157.89,20.01
O00139,1,P00091,S00058,51.63,36.81
O00140,1,P00114,S00061,89.0,36.11
O00141,1,P00113,S00046,113.05,31.01
O00141,2,P00131,S00028,26.3,16.01
O00142,1,P00082,S00047,38.86,19.69
O00143,1,P00002,S00000,37.36,8.31
O00144,1,P00087,S00067,89.42,31.75
O00145,1,P00043,S00003,49.95,5.92
O00146,1,P00111,S00067,58.53,27.91
O00147,1,P00021,S00071,109.07,34.81
O00148,1,P00008,S00058,73.12,12.24
O00148,2,P00020,S00053,15.72,24.37
O00149,1,P00004,S00070,61.45,22.35
O00150,1,P00009,S00059,23.37,8.98
O00151,1,P00063,S00015,80.44,41.36
O00152,1,P00104,S00054,20.18,12.4
O00152,2,P00147,S00005,64.66,37.51
O00153,1,P00066,S00078,81.33,27.24
O00154,1,P00136,S00040,102.86,37.49
O00155,1,P00101,S00069,25.93,25.76
O00156,1,P00039,S00061,63.86,33.55
O00157,1,P00147,S00068,60.89,9.96
O00157,2,P00015,S00050,95.2,35.12
O00158,1,P00053,S00027,35.4,40.9
O00158,2,P00041,S00070,70.45,12.23
O00158,3,P00146,S00030,51.84,28.96
O00159,1,P00079,S00040,43.92,27.19
O00160,1,P00132,S00019,80.53,9.92
O00160,2,P00107,S00047,53.22,10.15
O00161,1,P00091,S00056,68.15,11.45
O00162,1,P00097,S00018,47.27,39.06
O00163,1,P00006,S00058,108.75,44.2
O00164,1,P00110,S00011,87.03,19.54
O00165,1,P00016,S00069,135.27,21.92
O00166,1,P00083,S00054,100.61,5.0
O00166,2,P00026,S00035,70.25,17.02
O00167,1,P00004,S00004,78.87,25.78
O00167,2,P00070,S00062,56.2,36.31
O00168,1,P00071,S00076,39.91,22.8
O00169,1,P00025,S00018,43.76,32.8
O00170,1,P00046,S00051,22.45,44.44
O00171,1,P00056,S00065,66.48,26.53
O00172,1,P00043,S00040,66.39,8.96
O00173,1,P00136,S00064,108.81,14.48
O00173,2,P00061,S00019,84.27,12.52
O00174,1,P00021,S00061,10.16,38.31
O00175,1,P00060,S00073,67.26,29.09
O00175,2,P00121,S00028,66.07,13.64
O00175,3,P00092,S00000,167.42,19.36
O00176,1,P00007,S00029,294.37,29.89
O00177,1,P00113,S00073,84.36,15.2
O00178,1,P00106,S00047,47.88,41.15
O00179,1,P00036,S00051,67.54,8.33
O00180,1,P00048,S00077,36.17,22.01
O00181,1,P00000,S00012,34.7,26.44
O00182,1,P00072,S00032,67.47,34.31
O00183,1,P00124,S00041,15.53,32.87
O00183,2,P00082,S00001,57.12,12.71
O00183,3,P00108,S00061,80.38,19.89
O00184,1,P00030,S00011,48.41,37.82
O00185,1,P00016,S00079,167.8,21.79
O00186,1,P00005,S00050,105.63,44.7
O00187,1,P00032,S00031,59.91,6.04
O00188,1,P00030,S00009,42.52,8.1
O00189,1,P00042,S00064,60.79,9.4
O00190,1,P00098,S00018,41.76,7.64
O00191,1,P00050,S00066,99.13,19.51
O00192,1,P00009,S00000,50.77,15.93
O00193,1,P00087,S00016,61.18,14.03
O00193,2,P00040,S00003,42.1,5.39
O00194,1,P00030,S00028,38.16,43.75
O00195,1,P00052,S00070,91.48,9.2
O00196,1,P00072,S00065,94.06,12.03
O00196,2,P00022,S00070,63.67,34.13
O00197,1,P00125,S00074,88.95,37.85
O00198,1,P00019,S00004,30.08,26.16
O00199,1,P00067,S00051,44.47,39.62
O00199,2,P00039,S00007,28.61,27.06
O00200,1,P00069,S00012,104.22,40.86
O00201,1,P00136,S00044,32.47,42.86
O00202,1,P00037,S00067,28.71,18.81
O00203,1,P00140,S00074,71.08,43.72
O00203,2,P00007,S00061,49.49,26.27
O00204,1,P00079,S00047,50.65,38.99
O00205,1,P00090,S00075,124.53,10.1
O00206,1,P00034,S00018,121.57,25.54
O00207,1,P00127,S00062,44.79,10.05
O00208,1,P00052,S00052,102.53,34.42
O00209,1,P00040,S00049,14.07,34.02
O00210,1,P00041,S00079,68.97,33.3
O00210,2,P00077,S00065,48.38,14.96
O00210,3,P00006,S00065,141.68,29.35
O00211,1,P00040,S00027,72.89,12.32
O00211,2,P00044,S00061,49.31,44.45
O00212,1,P00012,S00054,35.75,25.09
O00212,2,P00112,S00043,111.23,16.03
O00213,1,P00086,S00037,61.76,42.67
O00214,1,P00142,S00078,50.25,37.56
O00214,2,P00112,S00077,113.67,17.21
O00215,1,P00045,S00009,134.68,42.9
O00215,2,P00009,S00021,51.26,21.26
O00216,1,P00058,S00039,74.2,8.61
O00217,1,P00105,S00071,87.74,34.2
O00218,1,P00143,S00035,48.5,11.6
O00218,2,P00049,S00025,51.49,7.3
O00219,1,P00088,S00062,76.79,27.17
O00219,2,P00146,S00012,92.48,24.71
O00220,1,P00013,S00075,15.66,43.49
O00220,2,P00022,S00057,44.29,21.96
O00221,1,P00026,S00057,132.46,34.23
O00222,1,P00128,S00050,33.95,25.6
O00223,1,P00016,S00044,123.77,40.52
O00223,2,P00147,S00030,102.95,32.92
O00223,3,P00103,S00019,36.55,21.22
O00224,1,P00136,S00028,77.38,41.44
O00225,1,P00081,S00033,117.11,33.57
O00225,2,P00037,S00025,50.42,33.1
O00226,1,P00031,S00045,45.99,14.77
O00226,2,P00038,S00066,22.77,34.56
O00227,1,P00093,S00064,192.47,37.93
O00227,2,P00116,S00006,90.72,40.21
O00227,3,P00025,S00070,43.88,26.12
O00228,1,P00067,S00051,95.63,29.29
O00229,1,P00108,S00040,42.64,31.98
O00229,2,P00068,S00046,47.74,40.28
O00229,3,P00057,S00076,117.06,25.94
O00230,1,P00148,S00078,110.66,8.0
O00231,1,P00041,S00051,56.29,25.55
O00231,2,P00135,S00012,90.67,43.1
O00232,1,P00031,S00072,60.39,20.16
O00233,1,P00082,S00030,95.77,9.53
O00234,1,P00032,S00069,77.01,14.99
O00234,2,P00067,S00026,225.39,26.56
O00235,1,P00079,S00002,18.45,9.71
O00235,2,P00078,S00047,43.35,16.97
O00236,1,P00086,S00006,82.14,13.52
O00237,1,P00086,S00009,69.97,27.75
O00237,2,P00137,S00032,45.59,13.7
O00238,1,P00053,S00063,44.81,42.32
O00239,1,P00017,S00019,41.36,38.03
O00240,1,P00108,S00041,218.35,23.52
O00241,1,P00100,S00029,56.05,24.53
O00242,1,P00071,S00073,35.29,29.62
O00243,1,P00032,S00064,37.86,19.16
O00244,1,P00135,S00020,51.56,40.61
O00245,1,P00134,S00067,77.61,19.18
O00246,1,P00079,S00078,22.74,24.68
O00247,1,P00099,S00048,86.4,25.57
O00248,1,P00072,S00021,72.64,9.95
O00249,1,P00146,S00014,50.74,11.23
O00250,1,P00047,S00075,88.65,14.04
O00251,1,P00080,S00013,174.55,16.97
O00252,1,P00021,S00060,40.3,12.29
O00253,1,P00050,S00052,76.23,9.35
O00253,2,P00015,S00016,56.88,22.54
O00254,1,P00131,S00016,99.6,11.47
O00254,2,P00060,S00012,117.43,19.15
O00255,1,P00107,S00032,60.09,19.37
O00256,1,P00010,S00027,40.17,12.94
O00256,2,P00089,S00027,56.29,12.58
O00257,1,P00061,S00060,34.75,20.78
O00258,1,P00109,S00078,89.99,41.04
O00258,2,P00047,S00012,22.24,11.41
O00259,1,P00067,S00047,197.75,24.17
O00260,1,P00005,S00019,71.9,15.63
O00261,1,P00027,S00038,23.76,27.0
O00262,1,P00077,S00033,18.66,33.57
O00262,2,P00036,S00002,166.26,18.0
O00263,1,P00145,S00011,65.41,40.27
O00263,2,P00023,S00071,104.66,25.07
O00264,1,P00123,S00051,13.39,38.72
O00264,2,P00114,S00051,40.46,20.55
O00265,1,P00136,S00022,98.49,9.32
O00266,1,P00000,S00031,28.12,11.22
O00267,1,P00133,S00023,152.41,35.7
O00268,1,P00117,S00070,77.16,32.13
O00269,1,P00088,S00058,80.27,44.06
O00270,1,P00053,S00064,65.09,22.37
O00270,2,P00108,S00073,10.0,16.58
O00271,1,P00033,S00067,77.09,35.44
O00272,1,P00037,S00043,77.88,11.1
O00273,1,P00065,S00057,195.09,14.98
O00274,1,P00075,S00057,228.92,39.57
O00274,2,P00068,S00073,160.08,44.77
O00275,1,P00028,S00025,96.55,37.82
O00276,1,P00036,S00043,57.91,33.26
O00277,1,P00063,S00074,13.79,33.05
O00277,2,P00104,S00015,33.57,25.09
O00278,1,P00085,S00039,54.14,44.7
O00279,1,P00051,S00015,13.58,30.38
O00280,1,P00132,S00035,56.69,10.29
O00281,1,P00075,S00022,38.18,44.62
O00282,1,P00091,S00045,38.32,22.05
O00282,2,P00083,S00032,120.91,29.66
O00283,1,P00011,S00030,51.99,7.04
O00284,1,P00092,S00039,112.97,17.26
O00285,1,P00015,S00056,26.75,14.26
O00286,1,P00117,S00016,170.89,24.17
O00287,1,P00076,S00045,100.52,30.75
O00288,1,P00026,S00000,30.42,15.77
O00289,1,P00090,S00032,37.55,19.04
O00290,1,P00057,S00035,134.32,17.79
O00291,1,P00059,S00016,77.22,6.64
O00292,1,P00131,S00031,98.54,34.79
O00293,1,P00001,S00022,55.33,23.88
O00294,1,P00130,S00004,123.08,9.03
O00294,2,P00135,S00025,57.1,12.39
O00295,1,P00056,S00001,58.37,19.54
O00295,2,P00008,S00044,30.75,17.17
O00296,1,P00042,S00019,80.75,5.55
O00297,1,P00053,S00057,90.77,39.48
O00298,1,P00095,S00046,262.14,34.65
O00299,1,P00025,S00035,105.87,36.15
O00300,1,P00122,S00019,32.86,19.86
O00301,1,P00000,S00063,50.68,13.4
O00302,1,P00005,S00048,80.7,40.49
O00303,1,P00067,S00010,78.2,34.7
O00304,1,P00021,S00071,78.81,28.46
O00305,1,P00037,S00050,176.44,31.17
O00305,2,P00086,S00069,70.69,12.62
O00306,1,P00093,S00010,61.07,42.02
O00306,2,P00044,S00051,98.25,8.0
O00307,1,P00079,S00031,36.59,18.72
O00308,1,P00025,S00046,49.43,44.59
O00308,2,P00006,S00023,21.6,13.08
O00309,1,P00123,S00005,19.05,6.75
O00309,2,P00145,S00019,38.05,12.67
O00310,1,P00111,S00041,42.89,15.1
O00311,1,P00016,S00024,60.16,39.14
O00311,2,P00148,S00021,34.56,41.27
O00312,1,P00043,S00060,42.18,40.8
O00312,2,P00004,S00048,86.92,22.94
O00312,3,P00088,S00039,136.16,33.69
O00313,1,P00059,S00067,140.11,7.71
O00313,2,P00087,S00069,26.24,21.76
O00314,1,P00014,S00002,52.3,25.15
O00314,2,P00051,S00071,76.46,5.87
O00315,1,P00147,S00050,25.49,32.87
O00316,1,P00115,S00078,33.46,6.82
O00317,1,P00118,S00036,78.32,36.78
O00318,1,P00105,S00048,28.62,34.63
O00319,1,P00004,S00000,58.55,32.39
O00320,1,P00007,S00044,81.22,43.86
O00320,2,P00071,S00025,62.03,11.62
O00321,1,P00089,S00016,47.57,20.37
O00321,2,P00006,S00058,46.53,36.17
O00322,1,P00070,S00007,72.86,15.86
O00323,1,P00139,S00057,75.25,11.4
O00324,1,P00018,S00033,136.16,32.87
O00325,1,P00005,S00079,119.54,36.63
O00325,2,P00077,S00018,112.08,23.22
O00326,1,P00005,S00030,92.69,26.0
O00326,2,P00098,S00024,48.92,17.14
O00327,1,P00036,S00052,61.27,33.33
O00328,1,P00078,S00008,55.32,11.84
O00329,1,P00105,S00013,21.47,14.53
O00330,1,P00052,S00059,42.39,10.93
O00331,1,P00091,S00076,61.12,42.09
O00331,2,P00041,S00009,58.44,15.82
O00332,1,P00058,S00064,54.22,30.7
O00332,2,P00010,S00008,27.88,14.96
O00333,1,P00042,S00058,73.4,26.38
O00333,2,P00135,S00064,67.99,5.06
O00334,1,P00032,S00001,18.36,29.21
O00335,1,P00004,S00056,60.36,8.33
O00336,1,P00054,S00006,39.88,26.97
O00336,2,P00084,S00028,35.79,33.88
O00337,1,P00032,S00034,60.91,29.46
O00338,1,P00081,S00063,19.65,7.29
O00339,1,P00106,S00065,173.55,37.96
O00339,2,P00047,S00066,172.37,13.77
O00340,1,P00047,S00007,47.99,12.07
O00340,2,P00100,S00063,71.82,43.86
O00340,3,P00122,S00054,92.19,26.5
O00341,1,P00138,S00024,65.57,36.13
O00341,2,P00025,S00076,101.54,36.22
O00341,3,P00031,S00006,115.02,9.26
O00342,1,P00098,S00034,86.02,20.28
O00342,2,P00016,S00073,115.45,31.15
O00343,1,P00004,S00026,52.65,30.37
O00343,2,P00050,S00011,72.33,27.04
O00344,1,P00058,S00058,23.71,13.83
O00344,2,P00147,S00060,96.05,15.75
O00345,1,P00116,S00033,15.93,37.31
O00346,1,P00092,S00030,108.37,11.23
O00346,2,P00102,S00011,42.41,14.27
O00347,1,P00075,S00040,94.52,19.75
O00347,2,P00134,S00007,57.88,41.09
O00348,1,P00073,S00044,32.06,12.26
O00349,1,P00077,S00001,23.01,39.49
O00350,1,P00113,S00017,88.81,24.62
O00351,1,P00079,S00020,48.5,30.9
O00351,2,P00149,S00073,86.44,5.84
O00352,1,P00087,S00039,47.26,12.11
O00353,1,P00038,S00047,76.11,29.31
O00354,1,P00134,S00021,60.87,7.88
O00355,1,P00112,S00030,20.68,41.37
O00356,1,P00050,S00079,59.13,9.01
O00356,2,P00003,S00032,38.76,26.07
O00356,3,P00033,S00009,83.12,34.07
O00357,1,P00008,S00030,102.51,29.13
O00357,2,P00136,S00051,10.0,20.12
O00358,1,P00022,S00070,30.49,38.06
O00359,1,P00077,S00050,37.52,30.78
O00359,2,P00144,S00021,79.01,6.75
O00360,1,P00031,S00029,58.59,8.34
O00361,1,P00071,S00075,32.11,30.1
O00362,1,P00072,S00035,95.71,43.65
O00363,1,P00101,S00012,85.01,9.25
O00363,2,P00031,S00049,43.95,34.45
O00363,3,P00072,S00019,73.84,18.54
O00364,1,P00138,S00013,42.3,13.09
O00364,2,P00104,S00069,28.96,24.22
O00365,1,P00077,S00061,152.09,22.77
O00366,1,P00140,S00054,80.93,18.27
O00367,1,P00092,S00039,206.95,7.24
O00368,1,P00110,S00053,110.57,30.1
O00369,1,P00101,S00063,17.57,38.0
O00370,1,P00029,S00033,55.72,16.87
O00371,1,P00141,S00060,90.28,38.46
O00372,1,P00048,S00074,30.24,41.49
O00373,1,P00098,S00075,19.31,22.09
O00374,1,P00072,S00076,78.34,31.21
O00375,1,P00015,S00034,71.59,40.16
O00376,1,P00135,S00076,14.59,40.37
O00377,1,P00144,S00018,46.88,9.5
O00377,2,P00120,S00025,56.52,11.78
O00378,1,P00035,S00077,45.54,9.07
O00379,1,P00066,S00057,64.04,19.29
O00379,2,P00144,S00036,36.11,29.63
O00379,3,P00115,S00078,172.88,9.73
O00380,1,P00070,S00009,46.81,41.79
O00380,2,P00041,S00009,27.71,40.82
O00381,1,P00111,S00044,77.86,12.12
O00382,1,P00039,S00055,65.07,28.98
O00383,1,P00021,S00060,44.59,11.01
O00384,1,P00110,S00070,105.4,17.06
O00385,1,P00141,S00078,63.37,18.94
O00385,2,P00071,S00014,113.7,9.16
O00386,1,P00122,S00056,179.2,31.47
O00386,2,P00057,S00030,66.49,42.32
O00387,1,P00104,S00021,36.21,33.45
O00387,2,P00101,S00014,48.0,8.05
O00388,1,P00068,S00031,58.35,42.32
O00389,1,P00054,S00035,111.75,31.23
O00390,1,P00127,S00075,52.07,20.62
O00391,1,P00104,S00027,84.86,36.42
O00391,2,P00138,S00045,171.0,24.14
O00392,1,P00020,S00018,26.74,28.11
O00393,1,P00139,S00022,63.96,16.14
O00393,2,P00147,S00009,35.75,8.62
O00393,3,P00054,S00071,53.62,44.79
O00394,1,P00018,S00073,68.52,20.4
O00395,1,P00126,S00040,34.37,21.95
O00396,1,P00008,S00074,146.88,21.56
O00397,1,P00051,S00077,25.18,18.34
O00397,2,P00093,S00075,40.27,37.09
O00398,1,P00054,S00024,59.06,14.84
O00399,1,P00137,S00018,139.51,24.88
O00400,1,P00082,S00066,52.5,26.3
O00401,1,P00023,S00009,53.93,20.39
O00401,2,P00053,S00049,71.53,28.24
O00402,1,P00109,S00000,53.99,28.12
O00403,1,P00097,S00003,531.42,34.93
O00404,1,P00086,S00076,67.72,14.41
O00404,2,P00136,S00071,117.97,5.11
O00405,1,P00109,S00021,35.77,5.69
O00405,2,P00094,S00066,151.55,27.33
O00405,3,P00054,S00051,39.0,43.3
O00406,1,P00145,S00025,147.02,7.38
O00406,2,P00086,S00009,155.93,18.97
O00407,1,P00055,S00024,61.53,39.67
O00407,2,P00139,S00043,140.57,37.76
O00408,1,P00041,S00010,19.0,10.77
O00409,1,P00072,S00051,30.05,43.87
O00409,2,P00088,S00066,195.69,41.52
O00410,1,P00076,S00039,46.59,38.11
O00411,1,P00007,S00059,90.36,10.51
O00412,1,P00056,S00003,134.02,33.16
O00412,2,P00036,S00034,33.15,20.1
O00412,3,P00049,S00029,65.55,6.05
O00413,1,P00118,S00071,37.05,19.87
O00413,2,P00020,S00003,42.74,33.06
O00413,3,P00146,S00067,56.53,31.51
O00414,1,P00025,S00025,86.59,38.5
O00415,1,P00073,S00001,427.3,6.21
O00415,2,P00046,S00034,31.1,19.61
O00416,1,P00105,S00071,48.31,8.08
O00417,1,P00099,S00044,48.8,37.55
O00418,1,P00092,S00079,25.78,12.3
O00419,1,P00146,S00047,32.7,34.92
O00419,2,P00004,S00013,76.27,32.94
O00420,1,P00089,S00053,46.23,21.46
O00421,1,P00008,S00046,22.57,36.26
O00422,1,P00054,S00062,44.82,16.47
O00423,1,P00059,S00044,72.25,40.25
O00424,1,P00143,S00051,89.35,35.05
O00425,1,P00086,S00038,173.54,5.43
O00426,1,P00020,S00070,46.24,32.2
O00426,2,P00016,S00029,38.91,40.04
O00427,1,P00124,S00068,64.13,38.18
O00428,1,P00001,S00012,70.58,25.07
O00428,2,P00050,S00061,20.39,33.37
O00429,1,P00007,S00039,82.85,11.27
O00430,1,P00086,S00051,112.16,25.86
O00430,2,P00131,S00051,45.67,44.12
O00430,3,P00065,S00052,65.83,10.01
O00431,1,P00075,S00037,21.35,29.76
O00432,1,P00133,S00056,131.5,12.35
O00433,1,P00018,S00031,220.12,27.37
O00433,2,P00119,S00012,299.33,38.67
O00434,1,P00005,S00008,37.71,23.74
O00434,2,P00145,S00030,49.73,17.53
O00435,1,P00055,S00040,75.76,38.09
O00436,1,P00089,S00068,72.86,37.13
O00437,1,P00086,S00042,49.67,12.79
O00438,1,P00083,S00005,32.36,8.11
O00439,1,P00022,S00013,30.97,38.86
O00440,1,P00074,S00012,98.54,16.29
O00441,1,P00046,S00005,11.65,7.61
O00442,1,P00088,S00021,97.72,35.26
O00443,1,P00092,S00077,30.64,27.07
O00444,1,P00119,S00060,88.75,6.29
O00445,1,P00059,S00014,22.04,44.07
O00446,1,P00021,S00077,77.59,27.55
O00447,1,P00103,S00006,116.76,6.83
O00447,2,P00039,S00022,64.44,17.58
O00448,1,P00078,S00031,46.35,5.34
O00448,2,P00118,S00059,79.36,19.27
O00449,1,P00002,S00032,22.51,20.93
O00450,1,P00022,S00025,62.65,35.07
O00451,1,P00112,S00074,123.44,43.95
O00451,2,P00004,S00059,54.87,33.11
