product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
P00079,fashion,34,458,4,10417,33,16,65
P00080,watches_gifts,21,427,5,3332,67,42,64
P00081,watches_gifts,20,410,2,3471,45,53,18
P00082,health_beauty,71,496,5,3163,56,25,35
P00083,fashion,27,184,4,8746,50,43,59
P00084,watches_gifts,57,108,3,5866,68,44,32
P00085,computers,78,364,5,1488,27,25,25
P00086,home_furniture,39,109,2,6216,28,37,59
P00087,watches_gifts,58,120,5,6386,64,16,72
P00088,sports_leisure,55,135,4,4832,27,16,50
P00089,fashion,59,77,3,257,72,13,34
P00090,watches_gifts,55,308,4,6803,72,31,66
P00091,fashion,30,92,5,605,38,23,14
P00092,computers,34,325,3,2855,68,41,73
P00093,health_beauty,56,108,3,8998,56,39,15
P00094,fashion,54,161,4,1777,41,24,14
P00095,fashion,36,228,1,7293,25,54,40
P00096,home_furniture,71,427,5,11390,54,60,64
P00097,sports_leisure,59,121,2,3490,17,41,54
P00098,computers,58,325,2,5402,47,23,44
P00099,health_beauty,28,434,4,1071,45,60,26
P00100,sports_leisure,35,124,3,4155,60,36,28
P00101,computers,60,262,4,7505,19,45,21
P00102,watches_gifts,52,433,3,11482,57,34,72
P00103,bed_bath_table,57,51,1,7611,55,59,18
P00104,watches_gifts,33,269,2,8205,44,25,46
P00105,bed_bath_table,55,345,2,9375,72,55,53
P00106,electronics,22,100,4,366,25,59,30
P00107,fashion,49,50,4,3414,26,46,48
P00108,sports_leisure,75,498,3,1629,56,21,20
P00109,bed_bath_table,62,382,2,948,60,45,49
P00110,home_furniture,47,385,1,11629,22,5,37
P00111,fashion,24,117,5,3805,76,48,66
P00112,electronics,20,406,3,2075,64,49,26
P00113,fashion,24,167,4,1563,23,11,50
P00114,bed_bath_table,76,203,2,6370,27,46,28
P00115,health_beauty,53,338,1,10099,31,33,54
P00116,home_furniture,60,433,2,6845,66,60,37
P00117,health_beauty,77,101,2,2117,59,27,64
P00118,bed_bath_table,70,121,2,4637,20,20,80
P00119,computers,69,403,1,10887,48,18,76
P00120,home_furniture,67,250,3,10686,16,55,40
P00121,fashion,44,107,2,8285,19,38,11
P00122,bed_bath_table,79,212,2,6437,63,28,79
P00123,sports_leisure,68,291,1,373,18,5,43
P00124,home_furniture,22,80,4,8400,46,45,74
P00125,watches_gifts,47,409,4,1450,78,39,29
P00126,computers,25,208,1,8477,36,56,29
P00127,bed_bath_table,45,350,1,5181,65,51,40
P00128,electronics,35,94,4,2000,68,44,17
P00129,computers,62,429,2,2056,11,50,27
P00130,electronics,30,304,3,8668,76,55,43
P00131,sports_leisure,43,114,3,2034,13,26,64
P00132,computers,53,82,3,11770,19,36,68
P00133,bed_bath_table,23,305,5,2834,57,15,42
P00134,health_beauty,77,343,1,3842,75,5,15
P00135,electronics,35,73,4,6063,59,14,32
P00136,electronics,55,461,4,3778,51,20,63
P00137,bed_bath_table,37,472,1,9464,57,12,74
P00138,electronics,31,164,5,852,61,9,69
P00139,computers,69,482,3,5462,21,40,68
P00140,electronics,43,152,3,9337,48,52,41
P00141,fashion,43,352,4,3301,79,53,41
P00142,sports_leisure,20,259,1,3917,79,27,11
P00143,bed_bath_table,20,438,4,5138,23,18,77
P00144,home_furniture,46,301,1,2432,45,10,15
P00145,home_furniture,77,482,5,6867,57,34,20
P00146,health_beauty,52,118,4,1326,17,32,26
P00147,home_furniture,38,183,3,6538,51,25,67
P00148,computers,34,88,2,2330,23,14,23
P00149,sports_leisure,48,288,3,6760,25,39,55
