order_id,payment_sequential,payment_type,payment_installments,payment_value
O00113,1,credit_card,2,77.02
O00114,1,boleto,1,89.68
O00115,1,boleto,2,194.64
O00116,1,credit_card,1,176.99
O00117,1,pix,10,161.82
O00118,1,credit_card,1,93.43
O00119,1,boleto,2,301.55
O00120,1,pix,2,172.43
O00121,1,boleto,3,94.31
O00122,1,credit_card,1,221.59
O00123,1,credit_card,10,91.53
O00124,1,pix,2,177.15
O00125,1,voucher,1,237.79
O00126,1,credit_card,2,48.03
O00127,1,credit_card,2,107.17
O00128,1,voucher,6,131.68
O00129,1,credit_card,6,120.65
O00130,1,credit_card,1,112.79
O00131,1,pix,2,358.18
O00132,1,pix,10,271.87
O00133,1,credit_card,2,328.05
O00134,1,boleto,1,71.93
O00135,1,credit_card,3,227.9
O00136,1,credit_card,10,117.72
O00137,1,pix,1,80.76
O00138,1,boleto,1,177.9
O00139,1,credit_card,1,88.44
O00140,1,credit_card,10,125.11
O00141,1,credit_card,2,186.37
O00142,1,credit_card,1,58.55
O00143,1,credit_card,6,45.67
O00144,1,credit_card,6,121.17
O00145,1,pix,1,55.87
O00146,1,credit_card,1,86.44
O00147,1,boleto,1,143.88
O00148,1,credit_card,10,125.45
O00149,1,boleto,3,83.8
O00150,1,boleto,1,32.35
O00151,1,boleto,1,121.8
O00152,1,voucher,1,134.75
O00153,1,pix,1,108.57
O00154,1,pix,1,140.35
O00155,1,pix,10,51.69
O00156,1,pix,1,97.41
O00157,1,boleto,3,201.17
O00158,1,credit_card,3,239.78
O00159,1,credit_card,1,71.11
O00160,1,pix,2,153.82
O00161,1,pix,1,79.6
O00162,1,credit_card,1,86.33
O00163,1,pix,1,152.95
O00164,1,credit_card,3,106.57
O00165,1,pix,1,157.19
O00166,1,credit_card,1,192.88
O00167,1,pix,3,197.16
O00168,1,credit_card,2,62.71
O00169,1,pix,1,76.56
O00170,1,credit_card,1,66.89
O00171,1,credit_card,6,93.01
O00172,1,pix,1,75.35
O00173,1,credit_card,6,220.08
O00174,1,credit_card,10,48.47
O00175,1,credit_card,2,362.84
O00176,1,credit_card,6,324.26
O00177,1,pix,10,99.56
O00178,1,credit_card,1,89.03
O00179,1,credit_card,6,75.87
O00180,1,pix,2,58.18
O00181,1,credit_card,6,61.14
O00182,1,pix,3,101.78
O00183,1,pix,1,218.5
O00184,1,pix,10,86.23
O00185,1,credit_card,10,189.59
O00186,1,boleto,1,150.33
O00187,1,pix,2,65.95
O00188,1,credit_card,1,50.62
O00189,1,credit_card,2,70.19
O00190,1,credit_card,1,49.4
O00191,1,voucher,3,118.64
O00192,1,credit_card,1,66.7
O00193,1,credit_card,1,122.7
O00194,1,voucher,3,81.91
O00195,1,credit_card,1,100.68
O00196,1,pix,3,203.89
O00197,1,credit_card,2,126.8
O00198,1,credit_card,2,56.24
O00199,1,pix,1,139.76
O00200,1,pix,6,145.08
O00201,1,credit_card,1,75.33
O00202,1,boleto,1,47.52
O00203,1,credit_card,1,190.56
O00204,1,credit_card,2,89.64
O00205,1,boleto,6,134.63
O00206,1,credit_card,1,147.11
O00207,1,pix,1,54.84
O00208,1,credit_card,1,136.95
O00209,1,credit_card,2,48.09
O00210,1,boleto,1,336.64
O00211,1,credit_card,3,178.97
O00212,1,pix,3,188.1
O00213,1,pix,3,104.43
O00214,1,pix,1,218.69
O00215,1,pix,1,250.1
O00216,1,credit_card,6,82.81
O00217,1,credit_card,1,121.94
O00218,1,credit_card,6,118.89
O00219,1,boleto,2,221.15
O00220,1,pix,1,125.4
O00221,1,boleto,10,166.69
O00222,1,boleto,2,59.55
O00223,1,credit_card,1,357.93
O00224,1,voucher,1,118.82
O00225,1,credit_card,6,234.2
O00226,1,credit_card,3,118.09
O00227,1,pix,6,431.33
O00228,1,credit_card,1,124.92
O00229,1,credit_card,1,305.64
O00230,1,credit_card,10,118.66
O00231,1,credit_card,3,215.61
O00232,1,pix,1,80.55
O00233,1,credit_card,10,105.3
O00234,1,voucher,1,343.95
O00235,1,pix,2,88.48
O00236,1,credit_card,10,95.66
O00237,1,credit_card,1,157.01
O00238,1,pix,3,87.13
O00239,1,credit_card,1,79.39
O00240,1,credit_card,2,241.87
O00241,1,voucher,6,80.58
O00242,1,pix,6,64.91
O00243,1,credit_card,1,57.02
O00244,1,boleto,1,92.17
O00245,1,boleto,1,96.79
O00246,1,credit_card,3,47.42
O00247,1,boleto,10,111.97
O00248,1,boleto,6,82.59
O00249,1,credit_card,3,61.97
O00250,1,credit_card,2,102.69
O00251,1,credit_card,1,191.52
O00252,1,pix,6,52.59
O00253,1,voucher,1,165.0
O00254,1,credit_card,6,247.65
O00255,1,pix,1,79.46
O00256,1,credit_card,1,121.98
O00257,1,credit_card,1,55.53
O00258,1,voucher,1,164.68
O00259,1,credit_card,1,221.92
O00260,1,credit_card,1,87.53
O00261,1,credit_card,1,50.76
O00262,1,credit_card,3,236.49
O00263,1,credit_card,1,235.41
O00264,1,credit_card,6,113.12
O00265,1,boleto,1,107.81
O00266,1,credit_card,1,39.34
O00267,1,pix,1,188.11
O00268,1,credit_card,10,109.29
O00269,1,credit_card,6,124.33
O00270,1,credit_card,3,114.04
O00271,1,pix,1,112.53
O00272,1,boleto,6,88.98
O00273,1,boleto,1,210.07
O00274,1,boleto,1,473.34
O00275,1,pix,1,134.37
O00276,1,credit_card,3,91.17
O00277,1,credit_card,10,105.5
O00278,1,credit_card,6,98.84
O00279,1,pix,1,43.96
O00280,1,boleto,10,66.98
O00281,1,boleto,1,82.8
O00282,1,voucher,6,210.94
O00283,1,pix,6,59.03
O00284,1,pix,1,130.23
O00285,1,credit_card,10,41.01
O00286,1,credit_card,1,195.06
O00287,1,credit_card,10,131.27
O00288,1,boleto,1,46.19
O00289,1,credit_card,10,56.59
O00290,1,credit_card,1,152.11
O00291,1,pix,1,83.86
O00292,1,credit_card,10,133.33
O00293,1,credit_card,6,79.21
O00294,1,credit_card,1,201.6
O00295,1,credit_card,1,125.83
O00296,1,credit_card,2,86.3
O00297,1,credit_card,2,130.25
O00298,1,pix,1,296.79
O00299,1,credit_card,3,142.02
O00300,1,credit_card,1,52.72
O00301,1,pix,10,64.08
O00302,1,credit_card,1,121.19
O00303,1,pix,10,112.9
O00304,1,credit_card,1,107.27
O00305,1,pix,3,290.92
O00306,1,credit_card,6,209.34
O00307,1,pix,6,55.31
O00308,1,credit_card,2,128.7
O00309,1,boleto,1,76.52
O00310,1,credit_card,1,57.99
O00311,1,pix,10,175.13
O00312,1,boleto,6,362.69
O00313,1,credit_card,3,195.82
O00314,1,boleto,1,159.78
O00315,1,credit_card,1,58.36
O00316,1,pix,1,40.28
O00317,1,credit_card,1,115.1
O00318,1,credit_card,1,63.25
O00319,1,boleto,1,90.94
O00320,1,credit_card,1,198.73
O00321,1,pix,3,150.64
O00322,1,pix,3,88.72
O00323,1,credit_card,6,86.65
O00324,1,credit_card,2,169.03
O00325,1,credit_card,6,291.47
O00326,1,pix,1,184.75
O00327,1,boleto,3,94.6
O00328,1,pix,10,67.16
O00329,1,pix,2,36.0
O00330,1,voucher,6,53.32
O00331,1,credit_card,1,177.47
O00332,1,credit_card,10,127.76
O00333,1,boleto,3,172.83
O00334,1,pix,1,47.57
O00335,1,credit_card,3,68.69
O00336,1,pix,1,136.52
O00337,1,pix,1,90.37
O00338,1,pix,1,26.94
O00339,1,credit_card,10,397.65
O00340,1,pix,1,294.43
O00341,1,credit_card,6,363.74
O00342,1,credit_card,1,252.9
O00343,1,pix,1,182.39
O00344,1,voucher,1,149.34
O00345,1,boleto,6,53.24
O00346,1,credit_card,10,176.28
O00347,1,boleto,1,213.24
O00348,1,pix,1,44.32
O00349,1,pix,3,62.5
O00350,1,pix,1,113.43
O00351,1,credit_card,6,171.68
O00352,1,credit_card,10,59.37
O00353,1,boleto,1,105.42
O00354,1,credit_card,10,68.75
O00355,1,pix,1,62.05
O00356,1,pix,1,250.16
O00357,1,credit_card,1,161.76
O00358,1,credit_card,1,68.55
O00359,1,boleto,2,154.06
O00360,1,credit_card,6,66.93
O00361,1,pix,1,62.21
O00362,1,credit_card,3,139.36
O00363,1,credit_card,1,265.04
O00364,1,credit_card,10,108.57
O00365,1,boleto,3,174.86
O00366,1,pix,1,99.2
O00367,1,credit_card,1,214.19
O00368,1,credit_card,1,140.67
O00369,1,credit_card,3,55.57
O00370,1,boleto,1,72.59
O00371,1,pix,10,128.74
O00372,1,credit_card,6,71.73
O00373,1,credit_card,1,41.4
O00374,1,pix,1,109.55
O00375,1,credit_card,6,111.75
O00376,1,boleto,10,54.96
O00377,1,credit_card,10,124.68
O00378,1,pix,1,54.61
O00379,1,credit_card,6,331.68
O00380,1,credit_card,1,157.13
O00381,1,credit_card,1,89.98
O00382,1,credit_card,10,94.05
O00383,1,credit_card,1,55.6
O00384,1,credit_card,1,122.46
O00385,1,credit_card,2,205.17
O00386,1,credit_card,2,319.48
O00387,1,credit_card,1,125.71
O00388,1,credit_card,6,100.67
O00389,1,credit_card,10,142.98
O00390,1,boleto,10,72.69
O00391,1,credit_card,10,316.42
O00392,1,boleto,1,54.85
O00393,1,credit_card,1,222.88
O00394,1,voucher,2,88.92
O00395,1,credit_card,10,56.32
O00396,1,boleto,1,168.44
O00397,1,credit_card,6,120.88
O00398,1,voucher,3,73.9
O00399,1,pix,10,164.39
O00400,1,credit_card,3,78.8
O00401,1,pix,1,174.09
O00402,1,credit_card,1,82.11
O00403,1,credit_card,1,566.35
O00404,1,credit_card,6,205.21
O00405,1,credit_card,1,302.64
O00406,1,credit_card,1,329.3
O00407,1,credit_card,2,279.53
O00408,1,boleto,1,29.77
O00409,1,credit_card,1,311.13
O00410,1,boleto,10,84.7
O00411,1,pix,1,100.87
O00412,1,credit_card,1,292.03
O00413,1,credit_card,1,220.76
O00414,1,credit_card,1,125.09
O00415,1,credit_card,2,484.22
O00416,1,credit_card,10,56.39
O00417,1,credit_card,10,86.35
O00418,1,boleto,3,38.08
O00419,1,boleto,2,176.83
O00420,1,pix,2,67.69
O00421,1,pix,1,58.83
O00422,1,pix,3,61.29
O00423,1,credit_card,6,112.5
O00424,1,credit_card,1,124.4
O00425,1,voucher,1,178.97
O00426,1,pix,3,157.39
O00427,1,credit_card,2,102.31
O00428,1,pix,3,149.41
O00429,1,credit_card,1,94.12
O00430,1,credit_card,1,303.65
O00431,1,pix,3,51.11
O00432,1,voucher,3,143.85
O00433,1,credit_card,3,585.49
O00434,1,pix,1,128.71
O00435,1,boleto,10,113.85
O00436,1,voucher,1,109.99
O00437,1,credit_card,10,62.46
O00438,1,credit_card,1,40.47
O00439,1,credit_card,1,69.83
O00440,1,credit_card,6,114.83
O00441,1,credit_card,1,19.26
O00442,1,credit_card,1,132.98
O00443,1,credit_card,10,57.71
O00444,1,credit_card,1,95.04
O00445,1,pix,1,66.11
O00446,1,boleto,10,105.14
O00447,1,pix,1,205.61
O00448,1,credit_card,1,150.32
O00449,1,credit_card,3,43.44
O00450,1,boleto,6,97.72
O00451,1,credit_card,2,255.37
O00452,1,boleto,10,192.88
O00453,1,credit_card,1,167.53
O00454,1,pix,1,52.13
O00455,1,credit_card,1,105.94
O00456,1,pix,1,174.84
O00457,1,credit_card,1,124.58
O00458,1,pix,10,79.46
O00459,1,boleto,10,213.25
O00460,1,credit_card,2,196.49
O00461,1,credit_card,1,127.44
O00462,1,credit_card,6,86.2
O00463,1,voucher,1,118.71
O00464,1,credit_card,3,103.91
O00465,1,credit_card,1,259.93
O00466,1,credit_card,1,223.65
O00467,1,credit_card,1,41.18
O00468,1,boleto,10,55.17
O00469,1,credit_card,1,152.03
O00470,1,boleto,1,188.49
O00471,1,credit_card,1,187.72
O00472,1,credit_card,2,87.06
O00473,1,credit_card,2,134.63
O00474,1,boleto,2,252.95
O00475,1,credit_card,1,147.62
O00476,1,credit_card,10,152.5
O00477,1,credit_card,1,307.64
O00478,1,voucher,2,111.27
O00479,1,credit_card,2,58.01
O00480,1,boleto,10,61.85
O00481,1,credit_card,10,80.62
O00482,1,credit_card,6,66.37
O00483,1,pix,6,174.16
O00484,1,pix,10,178.05
O00485,1,pix,1,50.15
O00486,1,credit_card,3,124.7
O00487,1,credit_card,6,148.26
O00488,1,credit_card,2,198.91
O00489,1,boleto,6,98.86
O00490,1,credit_card,10,56.53
O00491,1,credit_card,2,101.74
O00492,1,credit_card,6,89.57
O00493,1,credit_card,10,133.85
O00494,1,pix,2,223.35
O00495,1,credit_card,10,149.64
O00496,1,credit_card,1,75.36
O00497,1,pix,1,141.03
O00498,1,credit_card,1,145.76
O00499,1,voucher,3,138.89
O00500,1,pix,10,87.01
O00501,1,boleto,1,152.45
O00502,1,credit_card,6,114.06
O00503,1,boleto,1,181.56
O00504,1,credit_card,3,57.03
O00505,1,pix,2,56.33
O00506,1,credit_card,2,233.74
O00507,1,credit_card,1,48.56
O00508,1,pix,2,160.1
O00509,1,credit_card,3,61.98
O00510,1,boleto,1,56.12
O00511,1,credit_card,6,42.91
O00512,1,credit_card,10,193.84
O00513,1,credit_card,1,101.1
O00514,1,credit_card,1,242.52
O00515,1,credit_card,2,258.11
O00516,1,credit_card,6,94.97
O00517,1,credit_card,1,169.56
O00518,1,credit_card,1,174.13
O00519,1,credit_card,2,73.0
O00520,1,credit_card,1,90.43
O00521,1,credit_card,1,106.06
O00522,1,pix,6,133.57
O00523,1,credit_card,1,91.78
O00524,1,credit_card,2,70.85
O00525,1,boleto,1,260.01
O00526,1,pix,10,104.55
O00527,1,pix,10,31.2
O00528,1,credit_card,2,166.52
O00529,1,credit_card,1,94.01
O00530,1,credit_card,1,68.51
O00531,1,boleto,6,201.44
O00532,1,boleto,1,271.18
O00533,1,credit_card,6,121.71
O00534,1,credit_card,6,60.47
O00535,1,pix,2,195.7
O00536,1,credit_card,1,299.0
O00537,1,voucher,1,115.72
O00538,1,pix,6,89.71
O00539,1,pix,10,117.8
O00540,1,pix,1,149.59
O00541,1,pix,3,83.18
O00542,1,credit_card,1,70.34
O00543,1,boleto,3,58.45
O00544,1,pix,1,158.87
O00545,1,boleto,1,138.91
O00546,1,credit_card,2,113.56
O00547,1,credit_card,2,65.96
O00548,1,credit_card,6,87.19
O00549,1,pix,1,167.52
O00550,1,credit_card,1,411.41
O00551,1,boleto,1,96.91
O00552,1,boleto,1,107.38
O00553,1,credit_card,1,149.62
O00554,1,credit_card,2,52.5
O00555,1,boleto,1,103.61
O00556,1,credit_card,3,110.9
O00557,1,pix,6,75.2
O00558,1,credit_card,1,38.09
O00559,1,credit_card,6,392.05
O00560,1,credit_card,1,219.98
O00561,1,boleto,6,46.66
O00562,1,pix,10,287.65
O00563,1,credit_card,2,85.63
O00564,1,boleto,1,229.19
O00565,1,credit_card,2,346.35
O00566,1,pix,1,58.29
O00567,1,credit_card,1,174.14
O00568,1,credit_card,2,124.3
O00569,1,credit_card,10,288.91
O00570,1,pix,1,177.89
O00571,1,credit_card,1,228.34
O00572,1,boleto,1,81.01
O00573,1,credit_card,6,150.28
O00574,1,pix,1,76.78
O00575,1,boleto,3,103.63
O00576,1,voucher,1,116.31
O00577,1,credit_card,3,432.28
O00578,1,credit_card,1,92.23
O00579,1,pix,2,96.95
O00580,1,boleto,1,101.06
O00581,1,credit_card,3,171.39
O00582,1,credit_card,1,319.77
O00583,1,boleto,2,238.3
O00584,1,voucher,1,97.5
O00585,1,pix,1,76.49
O00586,1,boleto,2,145.85
O00587,1,voucher,2,39.63
O00588,1,pix,1,66.86
O00589,1,credit_card,10,118.24
O00590,1,credit_card,2,64.55
O00591,1,credit_card,1,55.49
O00592,1,boleto,1,164.27
O00593,1,pix,10,297.36
O00594,1,pix,6,176.08
O00595,1,voucher,3,86.97
O00596,1,credit_card,10,96.0
O00597,1,credit_card,3,94.4
O00598,1,credit_card,10,100.63
O00599,1,credit_card,1,191.93
O00600,1,boleto,6,73.72
O00601,1,voucher,10,280.67
O00602,1,boleto,3,51.38
O00603,1,credit_card,2,35.8
O00604,1,credit_card,2,237.8
O00605,1,credit_card,2,104.18
O00606,1,credit_card,2,207.93
O00607,1,credit_card,10,80.73
O00608,1,credit_card,1,83.91
O00609,1,credit_card,10,253.19
O00610,1,credit_card,2,82.73
O00611,1,boleto,6,102.02
O00612,1,pix,2,72.81
O00613,1,boleto,2,77.46
O00614,1,voucher,2,74.24
O00615,1,credit_card,1,243.1
O00616,1,boleto,1,122.12
O00617,1,boleto,3,174.0
O00618,1,voucher,3,246.65
O00619,1,boleto,2,86.05
O00620,1,pix,1,77.77
O00621,1,boleto,1,381.94
O00622,1,boleto,2,251.33
O00623,1,boleto,1,88.3
O00624,1,credit_card,3,128.0
O00625,1,pix,6,96.57
O00626,1,credit_card,3,114.07
O00627,1,pix,10,117.28
O00628,1,pix,2,76.34
O00629,1,credit_card,10,156.91
O00630,1,credit_card,2,44.51
O00631,1,pix,1,73.37
O00632,1,credit_card,1,176.19
O00633,1,credit_card,1,133.3
O00634,1,credit_card,2,120.64
O00635,1,credit_card,6,55.32
O00636,1,boleto,1,177.6
O00637,1,pix,2,170.64
O00638,1,credit_card,1,181.65
O00639,1,pix,10,107.54
O00640,1,credit_card,1,103.44
O00641,1,credit_card,6,353.04
O00642,1,voucher,1,134.37
O00643,1,pix,6,55.52
O00644,1,boleto,10,269.5
O00645,1,credit_card,2,118.01
O00646,1,pix,1,169.29
O00647,1,pix,1,66.97
O00648,1,pix,3,55.87
O00649,1,credit_card,10,127.2
O00650,1,boleto,3,210.2
O00651,1,pix,2,158.46
O00652,1,credit_card,6,96.37
O00653,1,credit_card,10,270.67
O00654,1,credit_card,10,84.92
O00655,1,pix,1,184.76
O00656,1,credit_card,6,163.6
O00657,1,pix,6,75.21
O00658,1,boleto,2,66.23
O00659,1,pix,1,49.14
O00660,1,credit_card,1,224.98
O00661,1,pix,3,78.25
O00662,1,pix,1,64.54
O00663,1,pix,1,100.33
O00664,1,credit_card,1,107.39
O00665,1,credit_card,1,107.09
O00666,1,pix,1,61.1
O00667,1,credit_card,1,329.32
O00668,1,boleto,1,205.2
O00669,1,credit_card,6,170.02
O00670,1,credit_card,1,173.59
O00671,1,pix,1,42.7
O00672,1,credit_card,2,79.91
O00673,1,credit_card,2,136.6
O00674,1,boleto,3,128.47
O00675,1,credit_card,1,69.1
O00676,1,pix,1,102.34
O00677,1,credit_card,1,86.42
O00678,1,credit_card,1,295.41
O00679,1,boleto,6,208.33
O00680,1,credit_card,6,96.81
O00681,1,credit_card,6,105.25
O00682,1,credit_card,6,126.1
O00683,1,credit_card,1,676.84
O00684,1,credit_card,10,96.97
O00685,1,boleto,1,136.48
O00686,1,boleto,10,123.7
O00687,1,credit_card,6,130.92
O00688,1,credit_card,10,73.97
O00689,1,credit_card,1,86.7
O00690,1,credit_card,1,296.64
O00691,1,credit_card,6,178.47
O00692,1,credit_card,10,54.75
O00693,1,voucher,2,216.67
O00694,1,credit_card,1,138.48
O00695,1,voucher,6,196.62
O00696,1,credit_card,10,233.25
O00697,1,credit_card,3,63.77
O00698,1,credit_card,10,128.98
O00699,1,pix,6,68.34
O00700,1,credit_card,3,54.88
O00701,1,credit_card,2,99.97
O00702,1,pix,1,114.37
O00703,1,boleto,1,86.4
O00704,1,credit_card,1,77.9
O00705,1,credit_card,1,78.15
O00706,1,credit_card,10,226.92
O00707,1,pix,1,84.89
O00708,1,boleto,1,50.31
O00709,1,credit_card,3,72.49
O00710,1,pix,1,97.09
O00711,1,pix,10,53.54
O00712,1,pix,10,170.41
O00713,1,credit_card,1,484.48
O00714,1,pix,1,96.2
O00715,1,boleto,2,129.14
O00716,1,boleto,1,47.7
O00717,1,credit_card,1,92.16
O00718,1,boleto,3,144.86
O00719,1,pix,3,123.81
O00720,1,pix,10,122.29
O00721,1,credit_card,3,172.68
O00722,1,credit_card,1,49.37
O00723,1,credit_card,6,155.32
O00724,1,credit_card,6,266.35
O00725,1,pix,1,199.28
O00726,1,boleto,2,72.9
O00727,1,credit_card,3,84.47
O00728,1,credit_card,1,169.12
O00729,1,credit_card,1,105.41
O00730,1,pix,1,42.39
O00731,1,pix,1,68.68
O00732,1,credit_card,1,68.15
O00733,1,credit_card,1,214.8
O00734,1,boleto,3,42.77
O00735,1,credit_card,1,134.26
O00736,1,credit_card,10,192.72
O00737,1,credit_card,10,130.33
O00738,1,boleto,1,177.62
O00739,1,credit_card,2,153.18
O00740,1,credit_card,1,31.15
O00741,1,credit_card,3,268.84
O00742,1,credit_card,2,178.04
O00743,1,credit_card,1,55.96
O00744,1,boleto,10,228.73
O00745,1,pix,6,72.49
O00746,1,pix,10,59.78
O00747,1,boleto,3,391.19
O00748,1,pix,3,82.25
O00749,1,pix,1,280.41
O00750,1,credit_card,2,82.35
O00751,1,boleto,2,58.57
O00752,1,boleto,1,251.88
O00753,1,credit_card,3,93.91
O00754,1,credit_card,6,140.85
O00755,1,credit_card,10,237.89
O00756,1,credit_card,1,75.37
O00757,1,credit_card,3,44.01
O00758,1,credit_card,6,83.64
O00759,1,credit_card,10,286.44
O00760,1,pix,2,110.26
O00761,1,credit_card,3,67.7
O00762,1,credit_card,1,75.6
O00763,1,credit_card,10,134.32
O00764,1,credit_card,1,56.62
O00765,1,credit_card,10,111.06
O00766,1,credit_card,6,128.72
O00767,1,boleto,10,114.04
O00768,1,credit_card,10,55.76
O00769,1,credit_card,1,256.29
O00770,1,credit_card,3,187.71
O00771,1,credit_card,10,67.47
O00772,1,credit_card,1,49.55
O00773,1,boleto,3,155.05
O00774,1,credit_card,6,75.57
O00775,1,credit_card,1,148.91
O00776,1,credit_card,2,82.72
O00777,1,pix,10,130.8
O00778,1,credit_card,6,170.25
O00779,1,credit_card,3,72.84
O00780,1,voucher,6,90.34
O00781,1,boleto,2,152.17
O00782,1,pix,1,33.67
O00783,1,credit_card,1,33.22
O00784,1,credit_card,10,77.82
O00785,1,pix,1,49.79
O00786,1,credit_card,1,166.93
O00787,1,pix,10,186.23
O00788,1,pix,2,51.34
O00789,1,credit_card,3,54.75
O00790,1,credit_card,2,218.49
O00791,1,credit_card,2,197.33
O00792,1,credit_card,2,268.71
O00793,1,credit_card,10,67.74
O00794,1,credit_card,2,212.79
O00795,1,pix,1,134.41
O00796,1,pix,1,121.33
O00797,1,credit_card,6,70.77
O00798,1,credit_card,10,121.5
O00799,1,credit_card,1,29.1
O00800,1,credit_card,2,64.91
O00801,1,credit_card,3,97.4
O00802,1,pix,10,87.83
O00803,1,credit_card,3,65.37
O00804,1,credit_card,1,381.23
O00805,1,credit_card,1,102.2
O00806,1,credit_card,6,42.62
O00807,1,credit_card,6,126.9
O00808,1,boleto,1,80.69
O00809,1,pix,2,32.28
O00810,1,boleto,6,137.88
O00811,1,credit_card,1,339.49
O00812,1,voucher,3,350.2
O00813,1,credit_card,1,73.55
O00814,1,credit_card,1,131.45
O00815,1,credit_card,1,202.0
O00816,1,credit_card,1,367.96
O00817,1,credit_card,1,61.8
O00818,1,pix,1,360.91
O00819,1,credit_card,10,110.89
O00820,1,pix,10,37.34
O00821,1,credit_card,1,167.76
O00822,1,boleto,3,48.58
O00823,1,credit_card,1,88.2
O00824,1,credit_card,1,144.74
O00825,1,boleto,10,200.23
O00826,1,boleto,3,265.85
O00827,1,credit_card,1,258.69
O00828,1,boleto,1,81.79
O00829,1,pix,1,282.72
O00830,1,pix,6,147.96
O00831,1,pix,1,379.28
O00832,1,voucher,1,126.45
O00833,1,pix,2,42.36
O00834,1,pix,1,241.55
O00835,1,credit_card,2,65.5
O00836,1,credit_card,1,85.52
O00837,1,credit_card,6,160.68
O00838,1,voucher,1,76.59
O00839,1,credit_card,6,50.38
O00840,1,pix,1,76.42
O00841,1,credit_card,2,75.56
O00842,1,credit_card,10,148.08
O00843,1,credit_card,1,107.74
O00844,1,pix,1,186.0
O00845,1,pix,3,243.81
O00846,1,credit_card,3,196.48
O00847,1,credit_card,1,87.18
O00848,1,voucher,10,337.18
O00849,1,pix,10,127.64
O00850,1,credit_card,1,194.13
O00851,1,boleto,6,97.12
O00852,1,credit_card,1,44.59
O00853,1,boleto,3,69.57
O00854,1,pix,3,36.84
